o,bus_stops,tube_stops
"116.34,39.99",8.0,0.0
"116.43,39.94",9.0,1.0
"116.28,40.01",3.0,0.0
"116.31,39.51",2.0,0.0
"116.33,39.89",4.0,1.0
"116.34,39.97",3.0,1.0
"116.39,39.99",3.0,0.0
"116.41,39.92",7.0,2.0
"116.17,39.88",1.0,0.0
"116.27,39.91",5.0,1.0
"116.66,39.90",6.0,0.0
"116.47,39.86",7.0,0.0
"116.37,40.00",10.0,0.0
"116.58,39.91",3.0,0.0
"116.23,40.22",15.0,1.0
"116.39,39.94",4.0,1.0
"116.42,39.90",12.0,1.0
"116.31,39.90",0.0,0.0
"116.28,39.79",10.0,0.0
"116.32,39.89",13.0,2.0
"116.37,40.01",8.0,0.0
"116.24,39.98",2.0,1.0
"116.31,39.94",6.0,0.0
"116.34,40.06",8.0,1.0
"116.37,39.95",19.0,2.0
"116.39,39.87",3.0,1.0
"116.50,39.92",4.0,1.0
"116.39,39.90",5.0,1.0
"116.37,39.91",7.0,3.0
"116.41,39.99",7.0,1.0
"116.36,40.08",8.0,1.0
"116.39,39.86",9.0,2.0
"116.18,39.73",6.0,1.0
"116.35,40.01",3.0,0.0
"116.25,39.91",5.0,1.0
"116.32,40.01",2.0,0.0
"116.36,40.06",5.0,0.0
"116.45,39.83",2.0,1.0
"116.31,39.99",6.0,1.0
"116.32,40.06",6.0,0.0
"116.22,39.90",12.0,0.0
"116.34,39.94",7.0,0.0
"116.52,39.79",3.0,0.0
"116.35,39.89",12.0,1.0
"116.45,39.95",4.0,0.0
"116.39,40.04",0.0,0.0
"116.24,40.06",1.0,1.0
"116.48,40.00",4.0,1.0
"116.30,39.97",7.0,1.0
"116.20,39.86",1.0,1.0
"116.47,39.99",6.0,0.0
"116.37,39.97",2.0,0.0
"116.31,40.10",6.0,1.0
"116.17,39.72",2.0,1.0
"116.01,39.71",6.0,0.0
"116.39,39.91",5.0,1.0
"116.29,40.00",3.0,1.0
"116.51,39.90",3.0,0.0
"116.53,39.82",2.0,0.0
"116.59,39.89",5.0,0.0
"116.40,40.07",2.0,0.0
"116.42,39.98",5.0,0.0
"116.41,39.93",4.0,1.0
"116.35,39.91",12.0,2.0
"116.34,39.96",3.0,1.0
"116.45,39.92",7.0,1.0
"116.20,39.77",2.0,0.0
"116.32,39.91",8.0,1.0
"116.38,39.97",8.0,0.0
"116.24,39.96",2.0,0.0
"116.37,39.88",7.0,1.0
"116.34,39.95",4.0,0.0
"116.39,39.89",13.0,1.0
"116.41,39.95",6.0,1.0
"116.34,39.73",10.0,0.0
"116.47,40.00",7.0,0.0
"116.33,39.97",6.0,1.0
"116.41,39.91",9.0,2.0
"116.24,40.12",3.0,0.0
"116.49,39.80",7.0,0.0
"116.51,39.79",7.0,1.0
"116.39,39.93",7.0,0.0
"116.57,39.79",2.0,0.0
"116.46,39.98",7.0,0.0
"116.37,39.92",10.0,1.0
"116.42,39.99",13.0,0.0
"116.47,39.92",9.0,1.0
"116.23,40.21",19.0,0.0
"116.45,39.91",6.0,1.0
"116.38,39.91",2.0,0.0
"116.40,39.95",10.0,1.0
"116.48,39.90",5.0,0.0
"116.50,40.03",2.0,1.0
"116.60,40.13",5.0,1.0
"116.36,39.90",9.0,1.0
"116.29,39.97",6.0,2.0
"116.29,39.88",7.0,0.0
"116.33,40.00",6.0,1.0
"116.39,39.84",13.0,2.0
"116.48,39.98",7.0,1.0
"116.52,39.92",5.0,0.0
"116.27,39.78",0.0,0.0
"116.63,40.33",9.0,0.0
"116.32,39.79",7.0,1.0
"116.38,39.93",4.0,1.0
"116.42,39.91",6.0,0.0
"116.05,39.63",1.0,0.0
"116.39,40.10",1.0,0.0
"116.28,40.10",0.0,0.0
"116.37,39.86",10.0,1.0
"116.51,39.92",13.0,1.0
"116.41,40.08",4.0,1.0
"116.46,40.00",11.0,1.0
"116.35,40.04",7.0,1.0
"116.27,40.14",3.0,0.0
