o,tube_stops_o,car_prob_o
"116.34,39.99",0,166
"116.43,39.94",1,319
"116.28,40.01",0,74
"116.31,39.51",0,22
"116.33,39.89",1,0
"116.34,39.97",1,314
"116.39,39.99",0,133
"116.41,39.92",2,298
"116.17,39.88",0,54
"116.27,39.91",1,355
"116.66,39.90",0,23
"116.47,39.86",0,215
"116.37,40.00",0,191
"116.58,39.91",0,58
"116.23,40.22",1,20
"116.39,39.94",1,182
"116.42,39.90",1,4
"116.31,39.90",0,98
"116.28,39.79",0,48
"116.32,39.89",2,67
"116.37,40.01",0,0
"116.24,39.98",1,83
"116.31,39.94",0,86
"116.34,40.06",1,34
"116.37,39.95",2,90
"116.39,39.87",1,46
"116.50,39.92",1,105
"116.39,39.90",1,27
"116.37,39.91",3,191
"116.41,39.99",1,172
"116.36,40.08",1,186
"116.39,39.86",2,3
"116.18,39.73",1,104
"116.35,40.01",0,218
"116.25,39.91",1,36
"116.32,40.01",0,134
"116.36,40.06",0,72
"116.45,39.83",1,2
"116.31,39.99",1,400
"116.32,40.06",0,330
"116.22,39.90",0,47
"116.34,39.94",0,111
"116.52,39.79",0,126
"116.35,39.89",1,183
"116.45,39.95",0,319
"116.39,40.04",0,190
"116.24,40.06",1,242
"116.48,40.00",1,74
"116.30,39.97",1,166
"116.20,39.86",1,6
"116.47,39.99",0,161
"116.37,39.97",0,6
"116.31,40.10",1,74
"116.17,39.72",1,111
"116.01,39.71",0,2
"116.39,39.91",1,103
"116.29,40.00",1,400
"116.51,39.90",0,111
"116.53,39.82",0,7
"116.59,39.89",0,23
"116.40,40.07",0,400
"116.42,39.98",0,166
"116.41,39.93",1,206
"116.35,39.91",2,285
"116.34,39.96",1,400
"116.45,39.92",1,108
"116.20,39.77",0,47
"116.32,39.91",1,40
"116.38,39.97",0,117
"116.24,39.96",0,22
"116.37,39.88",1,400
"116.34,39.95",0,18
"116.39,39.89",1,126
"116.41,39.95",1,34
"116.34,39.73",0,90
"116.47,40.00",0,103
"116.33,39.97",1,110
"116.41,39.91",2,166
"116.24,40.12",0,40
"116.49,39.80",0,400
"116.51,39.79",1,97
"116.39,39.93",0,192
"116.57,39.79",0,33
"116.46,39.98",0,84
"116.37,39.92",1,34
"116.42,39.99",0,400
"116.47,39.92",1,170
"116.23,40.21",0,48
"116.45,39.91",1,76
"116.38,39.91",0,113
"116.40,39.95",1,117
"116.48,39.90",0,113
"116.50,40.03",1,2
"116.60,40.13",1,5
"116.36,39.90",1,115
"116.29,39.97",2,0
"116.29,39.88",0,79
"116.33,40.00",1,400
"116.39,39.84",2,200
"116.48,39.98",1,22
"116.52,39.92",0,125
"116.27,39.78",0,14
"116.63,40.33",0,40
"116.32,39.79",1,77
"116.38,39.93",1,119
"116.42,39.91",0,206
"116.05,39.63",0,27
"116.39,40.10",0,63
"116.28,40.10",0,160
"116.37,39.86",1,202
"116.51,39.92",1,400
"116.41,40.08",1,33
"116.46,40.00",1,400
"116.35,40.04",1,400
"116.27,40.14",0,6
"116.33,40.04",0,14
"116.42,39.84",1,151
"116.31,39.83",0,3
"116.30,39.98",0,9
"116.59,40.08",1,72
"116.27,39.75",0,34
"116.34,40.00",0,36
"116.28,39.92",0,245
"116.35,39.96",0,0
"116.66,39.88",1,0
"116.28,40.04",0,328
"116.42,39.92",0,276
"116.41,39.90",1,166
"116.39,39.98",2,0
"116.39,40.01",1,117
"116.45,39.96",1,400
"116.35,40.07",1,13
"116.69,39.83",0,400
"116.40,39.86",1,91
"116.41,40.07",2,156
"116.47,40.03",1,220
"116.43,39.76",0,291
"116.27,40.17",0,102
"116.36,39.89",0,97
"116.43,39.91",1,276
"116.41,39.98",1,76
"116.43,39.90",0,247
"116.33,39.72",1,27
"116.51,39.93",0,115
"116.69,40.13",0,50
"116.40,39.91",1,36
"116.35,39.99",0,143
"116.35,39.94",1,103
"116.32,39.84",0,40
"116.47,39.98",0,306
"116.43,39.92",1,162
"116.63,40.31",0,166
"116.45,39.86",1,7
"116.35,39.98",1,50
"116.40,39.97",0,400
"116.53,39.77",1,33
"116.41,39.89",1,167
"116.39,39.95",1,126
"116.59,39.91",1,27
"116.31,39.74",0,23
"116.41,40.03",1,24
"116.38,39.89",1,110
"116.47,39.77",0,1
"116.67,39.93",0,22
"116.32,40.00",0,400
"116.34,40.03",0,242
"116.35,40.00",1,29
"116.31,39.81",0,82
"116.43,39.93",1,40
"116.40,39.98",1,172
"116.30,39.93",1,133
"116.46,39.95",1,190
"116.75,39.94",0,11
"116.48,39.97",1,400
"116.20,39.93",1,74
"116.29,39.99",0,247
"116.23,40.17",0,400
"116.30,39.92",0,137
"116.47,39.89",1,7
"116.42,40.16",0,11
"116.29,39.92",1,133
"116.40,39.93",1,76
"116.52,40.03",0,68
"116.30,39.86",2,25
"116.42,39.88",0,81
"116.21,40.08",0,42
"116.31,39.97",1,103
"116.29,40.05",0,108
"116.38,39.90",1,90
"116.31,39.95",0,157
"116.40,39.92",1,7
"116.45,40.01",0,1
"116.34,40.07",0,141
"116.60,39.90",0,140
"116.50,39.93",0,12
"116.32,39.65",0,7
"116.45,39.93",0,376
"116.42,39.94",0,75
"116.40,39.82",0,400
"116.46,39.89",1,163
"116.19,39.95",0,90
"116.31,39.93",1,260
"116.41,39.86",0,143
"116.20,39.91",0,191
"116.52,39.90",0,61
"116.41,39.67",0,92
"116.33,40.10",0,126
"116.58,40.08",0,27
"116.34,39.89",0,90
"116.51,39.91",1,56
"116.35,39.97",1,400
"116.36,39.84",2,165
"116.33,39.94",1,254
"116.33,39.98",1,117
"116.64,39.89",1,117
"116.64,40.13",1,0
"116.34,39.76",0,141
"116.61,39.92",1,191
"116.46,39.90",0,283
"116.43,39.96",1,166
"116.33,39.99",1,174
"116.38,39.96",0,345
"116.43,39.89",1,26
"116.54,39.92",0,400
"116.38,39.84",1,39
"116.22,40.23",0,104
"116.38,39.87",0,400
"116.63,39.90",1,48
"116.31,39.82",0,72
"116.42,40.02",0,15
"116.21,39.76",1,55
"116.43,40.04",1,166
"116.33,39.93",0,285
"116.43,40.08",0,377
"116.40,39.96",0,74
"116.10,39.90",0,89
"116.40,40.05",0,15
"116.46,39.94",1,377
"116.16,39.76",0,104
"116.39,39.92",0,73
"116.57,40.06",0,148
"116.09,40.45",0,0
"116.31,39.67",1,0
"116.38,39.92",0,400
"116.45,39.89",0,400
"116.17,40.03",0,254
"116.20,39.99",1,103
"116.26,39.96",0,377
"116.31,39.84",1,68
"116.30,39.89",0,330
"116.56,40.01",0,8
"116.72,40.13",0,400
"116.32,40.04",0,400
"116.38,39.55",0,146
"116.49,39.89",1,61
"116.55,39.82",0,80
"116.57,39.92",1,143
"116.31,40.09",0,38
"116.38,39.86",0,189
"116.19,39.99",0,70
"116.46,39.93",1,151
"116.49,39.91",1,206
"116.44,39.92",0,5
"116.37,39.85",1,178
"116.33,39.81",0,148
"116.61,40.05",1,34
"116.32,39.74",0,38
"116.27,40.12",0,232
"116.31,40.03",1,6
"116.44,39.97",1,100
"116.31,39.98",1,145
"116.43,39.78",0,306
"116.44,39.95",0,245
"116.46,39.84",0,165
"116.26,39.90",0,7
"116.32,39.77",1,80
"116.81,40.36",0,32
"116.58,39.90",0,166
"116.36,39.99",0,400
"116.44,39.89",1,191
"116.21,39.84",0,24
"116.20,39.95",0,50
"116.30,39.94",0,54
"116.54,39.95",0,2
"116.48,39.92",0,146
"116.41,39.96",1,166
"116.39,39.96",1,118
"116.51,40.12",0,0
"116.45,39.90",0,400
"116.44,40.08",0,400
"116.69,39.91",0,15
"116.67,40.00",0,105
"116.32,39.85",0,90
"116.18,40.05",0,260
"116.43,40.09",0,328
"116.32,39.90",0,182
"116.26,39.99",0,10
"116.36,39.98",1,24
"116.30,39.91",1,84
"116.36,39.79",0,3
"116.43,39.85",0,276
"116.40,39.89",1,291
"116.28,40.17",0,40
"116.40,39.99",0,9
"116.61,40.12",0,166
"116.44,39.93",0,376
"116.22,39.85",0,5
"116.36,39.93",0,191
"116.48,39.89",1,143
"116.73,39.88",0,7
"116.68,39.65",0,115
"116.44,39.99",1,30
"116.31,39.89",1,75
"116.42,39.72",0,3
"116.45,39.88",0,33
"116.51,39.78",0,58
"116.35,39.93",1,90
"116.88,40.38",0,0
"116.63,39.66",0,167
"116.34,39.98",0,173
"116.24,39.95",0,237
"116.50,39.85",0,319
"116.44,39.88",0,112
"116.46,39.91",0,291
"116.30,39.82",0,2
"116.04,39.60",0,45
"116.68,40.11",0,15
"116.19,40.09",0,20
"116.38,40.08",0,82
"116.55,39.91",1,118
"116.30,39.83",0,276
"116.65,40.11",0,195
"116.48,39.96",1,55
"116.21,40.05",0,15
"116.09,39.89",1,40
"116.32,39.78",0,26
"116.45,39.87",1,86
"116.22,39.92",0,355
"116.18,39.93",1,90
"116.30,39.88",1,123
"116.15,40.21",0,10
"116.39,39.79",0,400
"116.24,40.20",0,126
"116.72,39.97",0,2
"116.67,40.11",0,48
"116.33,39.84",1,141
"116.38,40.01",0,400
"116.28,39.93",0,101
"116.55,39.79",0,0
"116.26,40.00",0,97
"116.42,39.97",0,193
"116.17,39.89",0,97
"116.65,39.81",0,167
"116.65,40.13",1,220
"116.70,39.86",0,107
"116.45,39.99",0,27
"116.70,40.10",0,220
"116.56,39.91",0,148
"116.32,39.99",0,83
"116.40,39.77",0,93
"116.24,40.22",0,148
"116.28,40.15",1,8
"116.37,39.84",1,100
"116.35,40.05",1,98
"116.19,40.24",1,2
"116.61,39.93",0,75
"116.49,39.97",0,244
"116.26,39.89",0,28
"116.36,40.00",1,26
"116.21,39.99",1,0
"116.23,40.23",0,400
"116.15,40.23",0,3
"116.82,40.48",0,1
"116.27,39.93",1,202
"116.47,39.91",1,90
"116.36,40.01",0,123
"116.44,39.94",0,101
"116.80,39.87",0,51
"116.43,39.86",1,191
"116.29,39.82",1,10
"116.87,39.81",0,291
"116.31,39.76",0,183
"116.56,39.79",0,0
"116.18,39.91",2,63
"116.47,40.01",0,244
"116.46,40.11",0,2
"116.47,39.97",0,113
"116.33,39.82",0,191
"116.47,39.88",1,27
"116.40,40.01",0,400
"116.45,39.97",0,40
"116.30,40.05",1,400
"116.36,39.86",0,90
"116.39,40.11",0,400
"116.32,39.97",2,103
"116.26,39.98",1,400
"116.34,39.88",0,17
"116.42,40.03",0,7
"116.66,39.89",0,17
"116.26,40.22",1,52
"116.36,40.07",0,23
"116.25,40.11",0,2
"116.17,39.81",0,286
"116.00,40.36",0,129
"116.48,39.93",0,292
"116.39,39.78",0,166
"116.44,39.96",0,191
"116.14,40.25",0,3
"116.25,39.93",2,2
"116.12,40.07",1,239
"116.21,40.12",0,58
"116.55,40.06",0,166
"116.52,39.81",0,170
"116.38,39.76",0,18
"116.29,39.91",1,130
"116.35,39.92",1,400
"116.56,39.92",1,5
"116.65,39.91",0,49
"116.56,39.85",0,246
"116.29,39.96",1,153
"116.65,39.92",0,5
"116.50,39.90",0,3
"116.26,39.88",0,37
"116.29,39.87",1,400
"116.37,40.06",0,78
"116.33,39.74",1,9
"116.29,39.84",1,15
"116.64,39.93",0,32
"116.34,39.93",1,400
"116.29,40.09",1,38
"116.40,40.04",0,109
"116.27,39.88",0,165
"116.29,39.89",0,161
"116.45,40.15",0,55
"116.34,39.92",0,56
"116.41,40.02",0,59
"116.39,40.00",1,109
"116.09,40.21",0,14
"116.13,40.14",0,162
"116.25,39.90",0,33
"116.41,40.00",1,71
"116.30,39.81",1,11
"116.44,39.84",1,281
"116.44,39.85",0,400
"116.47,39.87",1,160
"116.43,39.95",0,3
"116.14,39.73",0,76
"116.43,40.03",0,400
"116.41,40.06",0,254
"116.37,39.90",1,191
"116.68,39.93",0,237
"116.63,39.65",0,5
"116.51,39.94",0,123
"116.55,40.15",0,0
"116.58,39.77",0,40
"116.43,39.97",1,108
"115.97,39.67",0,266
"116.31,39.71",1,4
"116.49,39.87",1,113
"116.43,39.98",1,73
"116.53,39.80",0,0
"116.46,39.92",2,55
"116.28,39.96",1,11
"116.29,40.15",0,5
"116.42,39.89",0,149
"116.64,40.12",0,148
"116.29,39.94",0,95
"116.24,40.07",0,38
"116.57,39.91",1,191
"116.32,39.71",0,260
"116.55,39.96",0,27
"116.57,39.80",0,14
"116.32,39.94",1,162
"116.32,39.75",0,66
"116.37,39.87",0,128
"116.31,40.07",1,54
"116.39,39.97",1,109
"116.16,40.52",0,134
"116.56,40.06",0,145
"116.30,39.96",0,6
"116.34,39.82",0,73
"116.28,39.78",0,191
"116.52,39.91",0,191
"116.44,39.87",0,40
"116.41,40.09",0,0
"116.29,40.10",0,56
"116.35,39.84",1,148
"116.51,39.95",0,105
"116.51,39.82",0,82
"116.37,39.98",0,74
"116.29,40.04",0,400
"116.32,39.88",0,9
"116.72,40.20",0,1
"116.44,39.91",1,90
"116.41,39.97",1,111
"116.53,39.94",0,22
"116.48,39.88",0,153
"116.34,39.91",0,56
"116.40,40.00",1,206
"116.31,39.91",0,377
"116.22,40.22",0,92
"116.38,39.99",0,97
"116.24,40.21",0,1
"116.15,39.73",0,184
"116.53,39.85",1,400
"116.50,40.17",0,67
"116.71,39.96",0,72
"116.45,39.85",1,93
"116.40,40.03",0,69
"116.12,39.89",1,12
"116.06,39.66",0,123
"116.24,40.15",0,0
"116.29,39.93",1,115
"116.31,40.08",0,377
"116.33,39.96",0,0
"116.60,40.08",0,137
"116.59,40.05",0,17
"116.36,39.91",0,113
"116.56,40.02",0,0
"116.63,40.36",0,173
"116.29,39.95",1,242
"116.11,39.96",0,180
"116.28,40.02",1,400
"116.49,39.58",0,9
"116.07,39.65",0,319
"116.52,39.78",1,6
"116.24,39.86",0,191
"116.47,39.80",1,30
"116.32,39.96",1,166
"116.41,39.88",1,103
"116.33,39.75",1,76
"116.56,39.94",0,0
"116.33,40.07",1,166
"116.27,39.87",0,126
"116.30,39.90",1,400
"116.36,39.97",1,190
"116.31,40.01",0,190
"116.62,39.93",0,103
"116.42,39.87",0,166
"116.54,40.07",0,185
"116.35,40.17",0,24
"116.25,40.08",0,43
"116.55,40.07",1,42
"116.27,39.90",0,143
"116.13,40.10",0,253
"116.40,39.84",0,285
"116.38,39.98",1,206
"116.23,39.86",1,285
"116.29,40.03",0,166
"116.28,39.85",0,191
"116.16,40.06",0,42
"116.50,39.61",0,0
"116.56,39.90",0,103
"116.28,39.87",0,0
"116.21,40.06",0,0
"116.40,40.13",0,69
"116.36,39.96",0,239
"116.25,39.89",0,166
"116.28,40.05",0,36
"116.36,39.85",0,190
"116.41,39.79",0,109
"116.36,39.87",0,43
"116.28,40.03",0,400
"116.45,39.81",1,30
"116.53,39.91",1,98
"116.30,40.10",0,214
"116.34,40.04",0,400
"116.50,39.87",1,200
"116.28,39.83",0,12
"116.41,39.80",1,4
"116.15,39.81",0,22
"116.29,40.16",0,232
"116.27,39.80",0,191
"116.64,39.95",0,34
"116.33,40.08",0,64
"116.33,39.91",1,345
"116.24,39.91",0,111
"116.50,40.01",0,166
"116.48,39.91",0,151
"116.32,40.08",0,4
"116.68,39.94",0,34
"116.47,39.95",0,285
"116.29,40.02",0,1
"116.28,39.90",0,246
"116.44,39.90",0,237
"116.35,40.03",0,90
"116.61,40.06",0,166
"116.27,40.04",0,183
"116.35,39.85",0,126
"116.24,40.19",0,48
"116.01,40.35",0,55
"116.55,40.02",0,400
"116.39,39.85",1,111
"116.45,39.94",0,15
"116.57,40.09",0,1
"116.42,39.86",2,166
"116.36,39.94",1,246
"116.72,39.94",0,23
"116.35,39.86",0,115
"116.40,39.88",0,260
"116.60,40.05",0,90
"116.49,39.98",0,391
"116.27,39.86",1,103
"116.28,40.00",0,400
"116.22,39.93",1,288
"116.41,40.04",1,123
"116.68,39.92",0,400
"116.37,39.94",0,166
"116.73,39.93",0,67
"116.56,40.11",1,3
"116.34,40.01",0,400
"116.30,39.95",0,206
"116.52,39.88",0,47
"116.30,40.08",0,54
"116.17,40.06",0,3
"116.29,39.83",1,147
"116.42,39.93",0,77
"116.40,39.62",0,18
"116.85,40.37",0,31
"116.54,39.90",0,16
"116.28,40.14",0,102
"116.34,39.90",0,191
"116.25,39.98",0,185
"116.19,39.91",0,47
"116.33,40.01",0,400
"116.46,40.02",1,166
"116.50,39.79",0,97
"116.43,40.07",0,126
"116.20,40.02",0,0
"116.16,40.18",0,4
"116.32,39.95",0,191
"116.63,39.91",0,27
"116.32,40.02",0,67
"116.23,39.88",0,40
