d,tube_stops_d,car_prob_d
"116.37,39.86",1,124
"116.46,39.95",1,391
"116.39,39.99",0,64
"116.32,39.72",0,24
"116.59,39.76",0,0
"116.45,39.96",1,281
"116.42,39.95",0,254
"116.47,39.93",1,371
"116.23,39.89",0,70
"116.35,39.92",1,400
"116.60,39.91",0,29
"116.38,39.96",0,205
"116.42,39.90",1,287
"116.59,39.91",1,65
"116.27,40.12",0,29
"116.34,39.92",0,264
"116.56,40.00",0,4
"116.25,39.89",0,141
"116.14,39.75",0,65
"116.54,40.07",0,76
"116.18,39.99",0,0
"116.39,39.93",0,100
"116.31,39.95",0,122
"116.16,39.72",0,40
"116.39,39.90",1,96
"116.57,39.92",1,51
"116.51,39.93",0,169
"116.61,40.07",0,0
"116.27,40.00",1,30
"116.31,39.82",0,12
"116.47,39.89",1,224
"116.40,39.99",0,269
"116.45,39.90",0,171
"116.09,39.81",0,4
"116.41,40.07",2,164
"116.34,40.01",0,268
"115.98,39.70",1,44
"116.31,40.04",0,171
"116.33,40.06",0,114
"116.58,39.81",0,3
"116.59,40.08",1,400
"116.32,39.98",1,387
"116.21,39.91",1,74
"116.35,39.99",0,137
"116.37,39.93",1,167
"116.37,39.89",1,187
"116.41,40.03",1,186
"116.31,39.97",1,299
"116.19,39.85",0,9
"116.27,40.16",1,0
"116.27,39.93",1,203
"115.99,40.48",0,2
"116.09,39.74",0,0
"116.40,39.93",1,125
"116.31,39.98",1,400
"116.69,39.99",0,7
"115.95,39.73",0,27
"116.45,39.93",0,400
"116.40,39.92",1,244
"116.34,39.91",0,354
"116.32,39.89",2,400
"116.37,39.98",0,173
"116.20,39.84",0,44
"116.39,39.91",1,35
"116.40,39.94",0,140
"116.36,39.92",0,358
"116.01,40.36",0,24
"116.41,39.91",2,400
"116.23,39.98",1,22
"116.33,39.94",1,139
"116.38,39.94",0,42
"116.48,39.89",1,91
"116.29,39.91",1,174
"116.19,39.91",0,78
"116.24,40.12",0,17
"116.50,39.79",0,112
"116.35,39.93",1,350
"116.55,39.75",0,9
"116.31,39.84",1,119
"116.30,40.01",0,4
"116.34,39.94",0,247
"116.30,40.09",0,76
"116.50,39.91",0,103
"116.35,39.97",1,136
"116.35,40.00",1,256
"116.42,39.97",0,152
"116.41,40.13",0,2
"116.59,40.13",0,7
"116.30,39.88",1,156
"116.30,39.84",0,95
"116.37,39.91",3,400
"116.34,40.00",0,155
"116.43,39.94",1,367
"116.66,40.09",0,34
"116.50,39.93",0,201
"116.26,39.94",0,21
"116.62,40.37",0,53
"116.34,39.73",0,67
"116.28,39.92",0,167
"116.56,39.92",1,40
"116.48,39.87",0,92
"116.40,39.95",1,188
"116.35,39.90",0,322
"116.40,40.08",0,50
"116.64,40.18",0,7
"116.46,39.93",1,293
"116.28,40.12",0,5
"116.18,39.96",0,9
"116.50,39.81",0,89
"116.49,39.80",0,138
"116.39,39.88",1,194
"116.26,40.03",0,48
"116.30,39.91",1,226
"116.78,39.72",0,0
"116.30,40.04",0,400
"116.34,39.95",0,199
"116.43,39.92",1,400
"116.33,39.93",0,204
"116.63,39.90",1,80
"116.34,39.99",0,146
"116.61,40.05",1,400
"116.61,39.92",1,20
"116.40,39.86",1,155
"116.44,39.90",0,213
"116.65,40.13",1,244
"116.41,39.90",1,332
"116.24,40.22",0,134
"116.33,39.95",0,272
"116.45,39.86",1,105
"116.42,39.93",0,149
"116.65,40.21",0,60
"116.40,39.98",1,179
"116.47,40.02",0,38
"116.46,39.98",0,178
"116.27,39.91",1,112
"116.27,39.88",0,132
"116.25,40.05",1,106
"116.33,39.98",1,312
"116.32,39.96",1,317
"116.32,39.94",1,201
"116.00,40.35",0,4
"116.27,39.90",0,76
"116.41,39.87",0,56
"116.38,39.97",0,400
"116.50,39.80",1,197
"116.41,39.94",1,161
"116.58,40.08",0,17
"116.36,39.77",0,29
"116.37,40.02",1,29
"116.35,40.01",0,243
"116.44,39.78",0,0
"116.68,39.93",0,33
"116.37,39.96",0,317
"116.29,40.03",0,41
"116.20,39.92",0,104
"116.15,39.72",1,54
"116.28,39.91",0,172
"116.49,39.98",0,296
"116.58,39.76",0,11
"116.36,39.84",2,245
"116.36,39.90",1,296
"116.45,39.81",1,56
"116.34,39.98",0,166
"115.59,39.64",0,7
"116.32,39.95",0,311
"116.40,39.88",0,11
"116.58,40.06",0,84
"116.31,40.06",0,34
"116.42,39.88",0,132
"116.35,39.88",0,165
"116.20,39.99",1,45
"116.26,40.15",0,7
"116.32,39.90",0,266
"116.28,40.09",0,54
"116.42,39.98",0,197
"116.51,39.91",1,80
"116.49,39.90",0,219
"116.31,39.83",0,15
"116.31,39.51",0,9
"116.43,39.89",1,344
"116.44,39.93",0,350
"116.44,39.88",0,93
"116.45,39.91",1,400
"116.36,39.86",0,130
"116.53,39.77",1,12
"116.34,39.88",0,226
"116.40,39.91",1,296
"116.48,39.98",1,166
"116.36,39.85",0,227
"116.51,39.90",0,74
"116.37,39.92",1,116
"116.55,39.91",1,66
"116.55,40.07",1,89
"116.30,40.05",1,230
"116.31,40.03",1,169
"116.45,39.87",1,400
"116.28,40.17",0,15
"116.57,40.15",0,0
"116.46,39.86",0,143
"116.43,39.93",1,400
"116.45,39.92",1,400
"116.36,39.97",1,231
"116.39,39.92",0,34
"116.18,39.76",1,44
"116.68,39.87",1,64
"116.19,39.99",0,69
"116.39,39.84",2,111
"116.44,39.82",0,14
"116.35,40.07",1,76
"116.38,39.83",0,55
"116.33,39.99",1,368
"116.40,39.85",0,118
"116.38,39.88",0,209
"116.23,39.95",0,101
"116.51,40.02",0,24
"116.43,40.04",1,43
"116.26,39.89",0,140
"116.29,39.86",0,143
"117.26,40.64",0,77
"116.12,40.46",0,0
"116.60,40.08",0,0
"116.62,39.90",0,26
"116.27,39.87",0,112
"116.50,39.89",1,82
"116.55,39.89",0,6
"116.34,40.06",1,157
"116.26,39.98",1,9
"116.31,39.88",0,346
"116.32,39.79",1,103
"116.21,39.85",0,5
"116.65,39.75",0,7
"116.44,39.87",0,180
"116.35,40.02",0,77
"116.40,39.90",0,116
"116.31,39.96",0,143
"116.36,39.91",0,400
"116.30,39.99",0,194
"116.28,40.10",0,34
"116.29,39.97",2,241
"116.66,39.92",1,4
"116.38,39.85",0,279
"116.49,39.87",1,60
"116.32,39.97",2,322
"116.60,40.04",0,36
"116.47,39.92",1,185
"116.56,40.43",0,38
"116.46,39.96",0,338
"116.27,40.07",0,7
"116.41,39.92",2,273
"116.44,39.95",0,160
"116.35,39.91",2,400
"116.42,40.02",0,8
"116.30,39.83",0,100
"116.81,40.36",0,45
"116.31,40.02",0,79
"116.51,39.92",1,239
"116.66,40.07",0,1
"116.23,39.84",0,27
"116.22,39.91",0,49
"116.31,40.08",0,39
"116.27,39.98",0,3
"116.39,39.96",1,205
"116.69,39.92",0,16
"116.31,40.00",0,203
