time,max_temp,min_temp,weather,wind,weather_q,weather_dy,weather_dyq,weather_qdy,weather_xq,weather_xydy,is_holiday,AQI,QR,PM2.5,PM10,SO2,CO,NO2,O3_8h,air_quality,air_quality_excellent,air_quality_good,air_quality_slightly_polluted,air_quality_moderately_polluted,air_quality_heavy_polluted
2018/10/1,25,12,q,45,1,0,0,0,0,0,1,40,1,8,21,3,0.3,19,79,excellent,1,0,0,0,0
2018/10/2,24,10,q,12,1,0,0,0,0,0,1,44,1,11,30,3,0.5,35,81,excellent,1,0,0,0,0
2018/10/3,26,10,q,12,1,0,0,0,0,0,1,52,2,13,35,4,0.5,41,82,good,0,1,0,0,0
2018/10/4,25,12,q,12,1,0,0,0,0,0,1,74,2,43,71,8,1,54,128,good,0,1,0,0,0
2018/10/5,24,14,dy,12,0,1,0,0,0,0,1,107,3,80,99,8,1.4,54,125,slightly_polluted,0,0,1,0,0
2018/10/6,20,8,q,45,1,0,0,0,0,0,1,33,1,8,21,3,0.3,18,66,excellent,1,0,0,0,0
2018/10/7,21,7,q,12,1,0,0,0,0,0,1,50,1,11,37,3,0.5,40,68,excellent,1,0,0,0,0
2018/10/8,21,9,dy,12,0,1,0,0,0,0,0,42,1,9,35,2,0.5,33,73,excellent,1,0,0,0,0
2018/10/9,16,3,dyq,45,0,0,1,0,0,0,0,25,1,4,14,3,0.3,15,50,excellent,1,0,0,0,0
2018/10/10,17,4,dyq,12,0,0,1,0,0,0,0,32,1,6,22,3,0.3,25,52,excellent,1,0,0,0,0
2018/10/11,18,5,qdy,12,0,0,0,1,0,0,0,45,1,10,32,3,0.3,36,59,excellent,1,0,0,0,0
2018/10/12,20,8,dyq,12,0,0,1,0,0,0,0,74,2,37,74,4,0.6,59,71,good,0,1,0,0,0
2018/10/13,20,8,dy,12,0,1,0,0,0,0,0,109,3,82,106,7,1,75,90,slightly_polluted,0,0,1,0,0
2018/10/14,20,10,dy,12,0,1,0,0,0,0,0,190,4,142,157,6,1.2,77,114,moderately_polluted,0,0,0,1,0
2018/10/15,17,11,xq,12,0,0,0,0,1,0,0,202,5,152,181,5,1.4,68,55,heavy_polluted,0,0,0,0,1
2018/10/16,17,7,dyq,12,0,0,1,0,0,0,0,83,2,61,64,3,1,36,74,good,0,1,0,0,0
2018/10/17,18,5,q,12,1,0,0,0,0,0,1,53,2,31,45,3,0.6,42,63,good,0,1,0,0,0
2018/10/18,18,5,q,12,1,0,0,0,0,0,0,67,2,30,50,3,0.6,53,63,good,0,1,0,0,0
2018/10/19,19,5,dy,12,0,1,0,0,0,0,0,73,2,43,59,4,0.7,58,78,good,0,1,0,0,0
2018/10/20,18,7,dy,12,0,1,0,0,0,0,0,88,2,65,79,5,0.9,70,81,good,0,1,0,0,0
2018/10/21,17,6,dy,12,0,1,0,0,0,0,0,150,3,115,128,7,1.4,83,57,slightly_polluted,0,0,1,0,0
