time,max_temp,min_temp,weather_q,weather_dy,weather_dyq,weather_qdy,weather_xq,weather_xydy,is_holiday,AQI,QR,PM2.5,PM10,SO2,CO,NO2,O3_8h,air_quality_excellent,air_quality_good,air_quality_slightly_polluted,air_quality_moderately_polluted,air_quality_heavy_polluted
2018/10/1,30,20,1,0,0,0,0,0,1,89,18,34,52,9,0.7,39,146,0,1,0,0,0
2018/10/2,31,19,1,0,0,0,0,0,1,100,23,32,59,12,0.7,36,159,0,1,0,0,0
2018/10/3,31,20,1,0,0,0,0,0,1,107,22,35,61,13,0.7,43,167,0,0,1,0,0
2018/10/4,31,20,1,0,0,0,0,0,1,110,17,36,61,13,0.9,45,170,0,0,1,0,0
2018/10/5,30,20,1,0,0,0,0,0,1,118,16,40,61,14,0.7,43,179,0,0,1,0,0
2018/10/6,30,21,1,0,0,0,0,0,1,106,23,35,55,12,0.6,47,166,0,0,1,0,0
2018/10/7,31,21,0,0,0,1,0,0,1,112,29,44,66,12,0.9,64,173,0,0,1,0,0
2018/10/8,32,22,0,1,0,0,0,0,0,147,16,70,98,12,1,64,211,0,0,1,0,0
2018/10/9,32,20,0,1,0,0,0,0,0,123,26,58,85,12,0.9,53,185,0,0,1,0,0
2018/10/10,24,18,0,0,0,0,0,1,0,75,22,55,61,8,1,41,70,0,1,0,0,0
2018/10/11,24,18,0,1,0,0,0,0,0,40,16,23,33,6,0.9,28,80,1,0,0,0,0
2018/10/12,25,19,0,1,0,0,0,0,0,48,17,32,44,9,0.7,38,95,1,0,0,0,0
2018/10/13,26,21,0,0,0,0,0,1,0,67,18,32,47,9,0.9,53,65,0,1,0,0,0
2018/10/14,27,22,0,0,0,0,0,1,0,74,13,41,72,10,1,60,94,0,1,0,0,0
2018/10/15,27,21,0,0,0,0,0,1,0,77,12,30,50,9,1,61,24,0,1,0,0,0
2018/10/16,25,19,0,0,0,0,0,1,0,47,23,15,24,7,1,37,42,1,0,0,0,0
2018/10/17,23,18,0,0,0,0,0,1,0,44,42,14,23,6,0.9,35,35,1,0,0,0,0
2018/10/18,24,19,0,1,0,0,0,0,0,45,19,22,33,6,0.7,36,37,1,0,0,0,0
2018/10/19,25,21,0,1,0,0,0,0,0,59,15,32,47,8,0.7,47,70,0,1,0,0,0
2018/10/20,26,21,0,1,0,0,0,0,0,73,12,44,69,8,0.9,58,68,0,1,0,0,0
2018/10/21,27,22,0,1,0,0,0,0,0,80,14,35,62,9,0.6,49,136,0,1,0,0,0
2018/10/22,28,22,0,0,0,0,0,1,0,68,15,32,55,11,0.7,54,56,0,1,0,0,0
2018/10/23,26,21,0,0,0,0,0,1,0,47,58,21,36,8,0.9,37,52,1,0,0,0,0
2018/10/24,27,21,0,1,0,0,0,0,0,62,66,30,51,10,1,49,49,0,1,0,0,0
2018/10/25,28,21,0,1,0,0,0,0,0,88,25,60,96,11,1.2,65,145,0,1,0,0,0
2018/10/26,26,20,0,0,0,0,0,1,0,80,54,48,74,10,1,64,54,0,1,0,0,0
2018/10/27,26,16,1,0,0,0,0,0,0,69,31,22,51,9,0.7,40,122,0,1,0,0,0
2018/10/28,28,17,1,0,0,0,0,0,0,70,39,25,57,11,0.6,50,124,0,1,0,0,0
2018/10/29,29,17,1,0,0,0,0,0,0,75,53,28,58,12,0.6,60,118,0,1,0,0,0
2018/10/30,29,17,1,0,0,0,0,0,0,69,19,28,57,13,0.6,53,122,0,1,0,0,0
2018/10/31,28,18,0,0,1,0,0,0,0,75,18,24,51,11,0.5,35,129,0,1,0,0,0
2018/11/1,25,19,0,0,0,0,0,1,0,70,11,31,59,11,0.6,33,124,0,1,0,0,0
2018/11/2,25,17,0,0,0,0,1,0,0,63,14,45,58,7,0.7,35,103,0,1,0,0,0
2018/11/3,26,18,0,1,0,0,0,0,0,43,16,19,28,5,0.6,34,66,1,0,0,0,0
2018/11/4,26,19,0,1,0,0,0,0,0,59,22,30,49,7,0.7,47,34,0,1,0,0,0
2018/11/5,27,20,0,1,0,0,0,0,0,79,25,51,82,8,1,63,94,0,1,0,0,0
2018/11/6,29,21,0,1,0,0,0,0,0,90,20,43,71,8,0.9,72,127,0,1,0,0,0
2018/11/7,28,19,0,1,0,0,0,0,0,82,35,54,80,10,1,65,108,0,1,0,0,0
2018/11/8,26,17,0,1,0,0,0,0,0,50,18,33,50,8,0.9,40,77,1,0,0,0,0
2018/11/9,26,19,0,1,0,0,0,0,0,68,53,27,53,8,0.9,54,90,0,1,0,0,0
2018/11/10,26,20,0,0,1,0,0,0,0,98,41,60,92,11,1,78,64,0,1,0,0,0
2018/11/11,28,21,0,0,1,0,0,0,0,89,52,63,96,10,1,66,146,0,1,0,0,0
2018/11/12,26,19,0,0,1,0,0,0,0,78,16,51,74,7,0.9,55,133,0,1,0,0,0
2018/11/13,28,20,0,0,1,0,0,0,0,52,24,22,38,7,0.7,41,96,0,1,0,0,0
2018/11/14,28,21,0,1,0,0,0,0,0,89,32,40,64,10,0.9,56,146,0,1,0,0,0
2018/11/15,26,21,0,0,0,0,0,1,0,60,23,30,58,8,0.6,48,73,0,1,0,0,0
2018/11/16,25,20,0,0,0,0,0,1,0,59,21,24,52,7,0.9,47,18,0,1,0,0,0
2018/11/17,23,17,0,0,0,0,0,1,0,39,15,13,28,5,1,31,10,1,0,0,0,0
2018/11/18,24,16,0,0,0,0,0,1,0,59,15,36,68,6,1,44,8,0,1,0,0,0
2018/11/19,22,17,0,0,0,0,0,1,0,37,76,12,23,5,0.9,29,56,1,0,0,0,0
2018/11/20,24,18,0,0,0,0,0,1,0,62,52,35,63,7,1,49,17,0,1,0,0,0
2018/11/21,24,14,0,0,0,0,0,1,0,68,11,43,86,7,1.2,47,22,0,1,0,0,0
2018/11/22,21,13,0,1,0,0,0,0,0,39,32,20,34,6,0.9,25,77,1,0,0,0,0
2018/11/23,23,15,1,0,0,0,0,0,0,57,39,40,60,8,0.9,45,91,0,1,0,0,0
2018/11/24,25,15,0,0,1,0,0,0,0,77,50,50,74,8,1,61,100,0,1,0,0,0
2018/11/25,25,17,0,1,0,0,0,0,0,72,81,49,68,7,1,57,49,0,1,0,0,0
2018/11/26,24,16,0,1,0,0,0,0,0,62,54,41,64,6,1,49,81,0,1,0,0,0
2018/11/27,23,16,0,0,0,0,0,1,0,69,77,44,63,8,1,55,70,0,1,0,0,0
2018/11/28,22,13,0,0,0,0,1,0,0,80,124,54,73,9,1,64,38,0,1,0,0,0
2018/11/29,25,14,1,0,0,0,0,0,0,80,106,42,70,8,1,64,78,0,1,0,0,0
2018/11/30,26,17,0,1,0,0,0,0,0,99,58,67,101,11,1,79,133,0,1,0,0,0
2018/12/1,25,18,0,0,0,0,0,1,0,101,30,66,95,11,1,82,67,0,0,1,0,0
2018/12/2,25,19,0,1,0,0,0,0,0,70,28,51,76,9,0.9,54,103,0,1,0,0,0
2018/12/3,27,19,0,0,1,0,0,0,0,74,53,38,71,9,0.7,59,74,0,1,0,0,0
2018/12/4,27,18,0,1,0,0,0,0,0,84,23,42,79,8,1,67,98,0,1,0,0,0
2018/12/5,26,19,0,0,0,0,0,1,0,69,14,47,74,9,1,55,104,0,1,0,0,0
2018/12/6,25,14,0,1,0,0,0,0,0,87,13,38,64,9,0.9,52,144,0,1,0,0,0
2018/12/7,17,12,0,0,0,0,0,1,0,37,20,15,24,6,1,29,10,1,0,0,0,0
